Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,3,E07,M,00:03:17.07,253673
1,4,E07,M,00:04:30.23,252920
1,5,E07,M,00:05:43.41,253064
1,6,E07,M,00:06:56.59,253712
1,7,E07,M,00:08:09.74,253607
1,8,E07,M,00:09:22.90,253869
1,9,E07,M,00:10:36.06,253768
1,10,E07,M,00:11:49.25,254024
1,1,E08,M,00:00:51.27,255690
1,2,E08,M,00:02:04.43,255047
1,3,E08,M,00:03:17.59,255066
1,4,E08,M,00:04:30.75,254614
1,5,E08,M,00:05:43.92,255084
1,6,E08,M,00:06:57.10,254588
1,7,E08,M,00:08:10.26,254342
1,8,E08,M,00:09:23.41,254125
1,9,E08,M,00:10:36.58,254695
1,10,E08,M,00:11:49.76,254799
1,1,E09,M,00:00:51.79,255986
1,2,E09,M,00:02:04.95,255586
1,3,E09,M,00:03:18.10,254391
1,4,E09,M,00:04:31.26,255350
1,5,E09,M,00:05:44.44,255446
1,6,E09,M,00:06:57.62,255234
1,7,E09,M,00:08:10.77,255230
1,8,E09,M,00:09:23.93,255261
1,9,E09,M,00:10:37.09,254452
1,10,E09,M,00:11:50.28,256275
1,1,E10,M,00:00:52.31,255183
1,2,E10,M,00:02:05.46,254857
1,3,E10,M,00:03:18.62,255740
1,4,E10,M,00:04:31.78,255444
1,5,E10,M,00:05:44.95,256317
1,6,E10,M,00:06:58.13,255463
1,7,E10,M,00:08:11.29,255869
1,8,E10,M,00:09:24.44,256039
1,9,E10,M,00:10:37.61,256074
1,10,E10,M,00:11:50.79,256670
1,1,E11,M,00:00:52.82,254905
1,2,E11,M,00:02:05.98,253889
1,3,E11,M,00:03:19.13,254774
1,4,E11,M,00:04:32.29,254079
1,5,E11,M,00:05:45.47,255250
1,6,E11,M,00:06:58.65,253455
1,7,E11,M,00:08:11.80,254067
1,8,E11,M,00:09:24.96,253911
1,9,E11,M,00:10:38.12,254133
1,10,E11,M,00:11:51.31,254390
1,1,E12,M,00:00:53.33,258769
1,2,E12,M,00:02:06.49,259024
1,3,E12,M,00:03:19.65,257795
1,4,E12,M,00:04:32.81,258354
1,5,E12,M,00:05:45.98,259358
1,6,E12,M,00:06:59.16,258864
1,7,E12,M,00:08:12.32,259319
1,8,E12,M,00:09:25.47,260246
1,9,E12,M,00:10:38.64,258700
1,10,E12,M,00:11:51.82,258659
1,1,F01,M,00:00:56.29,258885
1,2,F01,M,00:02:09.45,259556
1,3,F01,M,00:03:22.60,259077
1,4,F01,M,00:04:35.76,258485
1,5,F01,M,00:05:48.94,260199
1,6,F01,M,00:07:02.12,258717
1,7,F01,M,00:08:15.27,258889
1,8,F01,M,00:09:28.43,259483
1,9,F01,M,00:10:41.59,259288
1,10,F01,M,00:11:54.78,259622
1,1,F02,M,00:00:56.80,256500
1,2,F02,M,00:02:09.96,256726
1,3,F02,M,00:03:23.12,255928
1,4,F02,M,00:04:36.28,255896
1,5,F02,M,00:05:49.45,255667
1,6,F02,M,00:07:02.63,256409
1,7,F02,M,00:08:15.78,256228
1,8,F02,M,00:09:28.94,256505
1,9,F02,M,00:10:42.11,255804
1,10,F02,M,00:11:55.29,256472
